name,source,gender,wikidata,type
"Avenue du Clipper",,,,relation
"Avenue du Clos Camberger",,,,relation
"Avenue du Clos Gaux",,,,relation
"Avenue du Clos Jaunet",,,,relation
"Avenue du Clos du Cens",,,,relation
"Avenue du Clos du Tertre",,,,relation
"Avenue du Coche d'Eau",,,,relation
"Avenue du Cristal",,,,relation
"Avenue du Forgeron",,,,relation
"Avenue du Frère Alexandre Lemesle",,,,way
"Avenue du Fruitier",,,,relation
"Avenue du Gaudinet",,,,relation
"Avenue du Halleray",,,,relation
"Avenue du Lavoir",,,,relation
"Avenue du Levant",,,,relation
"Avenue du Lieutenant Philippe Mallet",,,,relation
"Avenue du Midi",,,,relation
"Avenue du Pâtis Vert",,,,relation
"Avenue du Petit Clos",,,,relation
"Avenue du Petit Hermitage",,,,relation
"Avenue du Petit Parc",,,,relation
"Avenue du Point du Jour",,,,relation
"Avenue du Ponant",,,,relation
"Avenue du Portail Rouge",,,,relation
"Avenue du Rayon Vert",,,,relation
"Avenue du Rocher d'Enfer",,,,relation
"Avenue du Ruisseau",,,,relation
"Avenue du Séquoia",,,,relation
"Avenue du Sirocco",,,,relation
"Avenue du Terrier",,,,relation
"Avenue du Transvaal",,,,way
"Avenue du Travail",,,,relation
"Avenue du Triton",,,,relation
"Avenue du Trocadéro",,,,relation
"Avenue du Trophée",,,,relation
"Avenue du Val d'Erdre",,,,relation
"Avenue du Vison",,,,relation
"Axe Nord-Sud",,,,way
"Barrage de Pont-Rousseau",,,,way
"Bas Chemin de Vertou",,,,relation
"Basse Tenue de Grillaud",,,,relation
Beaujoire,,,,way
"Boulevard Bâtonnier Cholet",,,,relation
"Boulevard Gaston Serpette",,,,relation
"Boulevard Georges Mandel",,,,relation
"Boulevard Gisèle Halimi",,,,relation
"Boulevard Gustave Roch",,,,relation
"Boulevard Guy Mollet",,,,relation
"Boulevard Honoré de Balzac",,,,relation
"Boulevard Joliot-Curie",,,,relation
"Boulevard Louis Millet",,,,relation
"Boulevard Luc Olivier Merson",,,,relation
"Boulevard Maréchal Alphonse Juin",,,,relation
"Boulevard Maréchal Lyautey",,,,relation
"Boulevard Maurice Bertin",,,,relation
"Boulevard Meusnier de Querlon",,,,relation
"Boulevard Paul Chabas",,,,relation
"Boulevard Professeur René Auvigné",,,,relation
"Boulevard Robert Schuman",,,,relation
"Boulevard Saint-Aignan",,,,relation
"Boulevard Salvador Allende",,,,relation
"Boulevard Vincent Gâche",,,,relation+way
"Boulevard Winston Churchill (Coté Saint-Herblain)",,,,relation
"Boulevard de Cardiff",,,,relation
"Boulevard de Chantenay",,,,relation
"Boulevard de Launay",,,,relation
"Boulevard de Longchamp",,,,relation+way
"Boulevard de Sarrebruck",,,,relation
"Boulevard de la Chauvinière",,,,relation+way
"Boulevard de la Loire",,,,relation
"Boulevard de la Louetrie",,,,relation
"Boulevard de la Pilotière",,,,relation
"Boulevard de la Prairie au Duc",,,,relation+way
"Boulevard de la Solidarité",,,,relation
"Boulevard des Américains",,,,relation
"Boulevard des Batignolles",,,,relation
"Boulevard des Européens",,,,way
"Boulevard des Pas Enchantés",,,,relation+way
"Boulevard des Poilus",,,,relation
"Boulevard des Tribunes",,,,relation+way
"Boulevard du Manoir Saint-Lô",,,,relation
"Boulevard du Massacre",,,,relation
"Boulevard du Massacre (côté Saint-Herblain)",,,,relation
"Boulevard du Petit Port",,,,relation+way
"Boulevard du Tertre",,,,relation+way
"Boulevard du Tertre (Nantes)",,,,relation
"Cale des Sous-Marins",,,,way
"Chaussée de la Madeleine",,,,relation
"Chemin Barbier",,,,relation
"Chemin Bernier",,,,relation
"Chemin Biret",,,,relation
"Chemin Bretonnelle",,,,relation
"Chemin Carnaud",,,,relation
"Chemin Creux de la Filée",,,,way
"Chemin Guilbaud",,,,relation
"Chemin Guillou",,,,relation
"Chemin Montplaisir",,,,relation
"Chemin Nantais des Chaupières",,,,way
"Chemin Pierre Joseph",,,,relation
"Chemin Poisson",,,,relation
"Chemin Renaud",,,,relation
"Chemin Tournerond",,,,relation
"Chemin Vert",,,,relation
"Chemin de Boisbonne",,,,relation
"Chemin de Bonneville",,,,relation
"Chemin de Halage de la Loire",,,,way
"Chemin de Launay Violette",,,,relation+way
"Chemin de Rogeolais",,,,way
"Chemin de l'Angle Chaillou",,,,relation
"Chemin de l'Écobut",,,,relation
"Chemin de l'Éraudière",,,,relation
"Chemin de l'Herbergement",,,,relation
"Chemin de la Basse Gaudinière",,,,relation
"Chemin de la Boisbonnière",,,,relation+way
"Chemin de la Bonnetière",,,,way
"Chemin de la Boucardière",,,,relation
"Chemin de la Brégeonnière",,,,relation
"Chemin de la Bretonnière",,,,relation
"Chemin de la Brianderie",,,,relation
"Chemin de la Censive du Tertre",,,,relation
"Chemin de la Charrée",,,,relation
"Chemin de la Clarière",,,,relation
"Chemin de la Dame de Nage",,,,relation
"Chemin de la Fontaine",,,,relation
"Chemin de la Gesvrière",,,,relation
"Chemin de la Grande Pièce",,,,way
"Chemin de la Grotte",,,,way
"Chemin de la Guiblinière",,,,relation
"Chemin de la Haye d'Irée",,,,way
"Chemin de la Hunaudais",,,,relation
"Chemin de la Justice",,,,relation+way
"Chemin de la Lande Saint-Joseph",,,,relation
"Chemin de la Mainguais",,,,relation
"Chemin de la Musse",,,,relation
"Chemin de la Pelleterie",,,,relation
"Chemin de la Petite Boucardière",,,,relation
"Chemin de la Piaudière",,,,relation
"Chemin de la Pierre Percée",,,,relation+way
"Chemin de la Poignée",,,,relation
"Chemin de la Roche",,,,relation
"Chemin de la Sécherie",,,,relation
"Chemin de la Veuze",,,,way
"Chemin de la Violerie",,,,relation
"Chemin des Américains",,,,relation
"Chemin des Baliveaux",,,,relation
"Chemin des Bateliers",,,,relation
"Chemin des Chats Pendus",,,,relation
"Chemin des Collines",,,,relation
"Chemin des Épaves",,,,way
"Chemin des Farfadets",,,,relation
"Chemin des Garniers",,,,relation+way
"Chemin des Glycines",,,,way
"Chemin des Hiorts",,,,relation
"Chemin des Marais",,,,relation
"Chemin des Petites Rues",,,,relation
"Chemin des Propriétaires",,,,relation
"Chemin des Réunis",,,,relation
"Chemin des Rivières",,,,relation
"Chemin des Rochers",,,,relation
"Chemin des Roches Vertes",,,,relation+way
"Chemin des Salles",,,,relation
"Chemin des Sourdes",,,,way
"Chemin des Terres",,,,relation
"Chemin des Usines",,,,relation
"Chemin des Vignes",,,,relation
"Chemin des Vignes du Bourg",,,,relation
"Chemin des Violettes",,,,relation
"Chemin du Bois des Anses",,,,way
"Chemin du Buron",,,,relation
"Chemin du Buzard",,,,way
"Chemin du Cellier",,,,relation
"Chemin du Champ Lucet",,,,relation
"Chemin du Château de l'Aubinière",,,,relation+way
"Chemin du Clocher",,,,way
"Chemin du Clos Cellier",,,,way
"Chemin du Gotha",,,,relation
"Chemin du Halage",,,,relation+way
"Chemin du Hasard",,,,relation
"Chemin du Haut Landreau",,,,relation
"Chemin du Linot",,,,relation
"Chemin du Maria",,,,relation
"Chemin du Morbhian",,,,way
"Chemin du Moulin Lambert",,,,relation
"Chemin du Moulin des Marais",,,,relation
"Chemin du Nouveau Monde",,,,way
"Chemin du Petit Doyenne",,,,relation
"Chemin du Piccot",,,,relation
"Chemin du Ponceau",,,,relation
"Chemin du Pont de l'Arche de Mauves",,,,relation
"Chemin du Port",,,,relation
"Chemin du Pré Hervé",,,,way
"Chemin du Pressoir Chênaie",,,,relation
"Chemin du Sas au Vin",,,,relation
"Chemin du halage",,,,way
"Cour Sans Nom",,,,relation
"Cour aux Chais",,,,relation
"Cour d'Honneur",,,,way
"Cour de Versailles",,,,relation
"Cour de la Brocante",,,,relation
"Cour des Automates",,,,relation
"Cour des Francs Tireurs",,,,relation
"Cour des Paludiers",,,,relation
"Cour des Songes",,,,relation
"Cour des Verdiaux",,,,way
"Cour des Voltigeurs",,,,relation+way
"Cours Jeanne Allain",,,,way
"Cours Massé",,,,relation
"Cours Sully",,,,relation
"Cours de la Prairie d'Amont",,,,relation+way
"Cours du Champ de Mars",,,,relation
"Escalier Sainte-Anne",,,,relation
"Espace Historique",,,,way
"Esplanade Suzanne Cardineau",,,,relation
"Esplanade de la Navale",,,,relation
"Esplanade de la Pierre Percée",,,,relation
"Esplanade des Riveurs",,,,relation
"Esplanade des Traceurs-de-Coques",,,,way
Feydeau-Commerce,,,,relation
"Giratoire Carnot",,,,way
"Hameau des Pastels",,,,relation
"Haute Impasse Maillard",,,,relation
"Impasse Aguesse",,,,relation
"Impasse Aliez",,,,relation
"Impasse Antoine Français",,,,relation
"Impasse Arago",,,,relation
"Impasse Archimède",,,,relation
"Impasse Audran",,,,relation
"Impasse Auguste Blouin",,,,relation
"Impasse Augustin Martin",,,,relation
"Impasse Baudouin",,,,relation
"Impasse Beloin",,,,relation
"Impasse Boutillier",,,,relation
"Impasse Bretonnière",,,,way
"Impasse Brillouet",,,,relation
"Impasse Brochard",,,,relation
"Impasse Calcaud",,,,way
"Impasse Calvin",,,,relation
"Impasse Carassin",,,,relation
"Impasse César Franck",,,,relation
"Impasse Chanteclerc",,,,relation
"Impasse Charles Chassin",,,,relation
"Impasse Commandant Henri Viot",,,,relation
"Impasse Copernic",,,,relation
"Impasse Émile Vallin",,,,way
"Impasse Esteban",,,,relation
"Impasse Ferdinand Arnodin",,,,relation
"Impasse Fraboulet",,,,relation
"Impasse Frère Maurice Chotard",,,,relation
"Impasse Gautier",,,,relation
"Impasse Grillaud",,,,relation
"Impasse Guston",,,,relation
"Impasse Halgan",,,,relation
"Impasse Hallereau",,,,way
"Impasse Haute de la Marrière",,,,relation
"Impasse Henri Jahan",,,,relation
"Impasse Jacquet",,,,relation
"Impasse Jean Carmet",,,,relation
"Impasse Jean-Marie Mustière",,,,relation
"Impasse Joseph Marie Fourage",,,,relation
"Impasse Jules Simon",,,,relation
"Impasse Julien",,,,relation
"Impasse Juton",,,,relation
"Impasse Kastell Dour",,,,relation
"Impasse Labbé",,,,relation
"Impasse Lalande",,,,relation
"Impasse Le Bigot",,,,relation
"Impasse Le Mintier",,,,relation
"Impasse Limonier",,,,way
"Impasse Lorraine",,,,relation
"Impasse Losquettant",,,,relation
"Impasse Lostys",,,,relation
"Impasse Madame",,,,relation
"Impasse Maillard",,,,relation
"Impasse Modot",,,,relation
"Impasse Monte au Ciel",,,,relation
"Impasse Morand",,,,way
"Impasse Morane",,,,relation
"Impasse Nicolas",,,,relation
"Impasse Palatine",,,,relation
"Impasse Parmentier",,,,relation
"Impasse Pauvert",,,,relation
"Impasse Péneau",,,,relation
"Impasse Philibert",,,,relation
"Impasse Pierre Teilhard de Chardin",,,,relation
"Impasse Raphaël",,,,relation
"Impasse Richeux",,,,relation
"Impasse Roscoff",,,,relation
"Impasse Saint-Charles",,,,relation
"Impasse Saint-Clément",,,,relation
"Impasse Saint-François",,,,relation
"Impasse Saint-Laurent",,,,relation
"Impasse Saint-Stanislas",,,,relation
"Impasse Saulnier Raymond",,,,relation
"Impasse Vaudreuil",,,,relation
"Impasse d'Havelooze",,,,relation
"Impasse de Chateaulin",,,,relation
"Impasse de Chavagnes",,,,way
"Impasse de Goupillières",,,,relation
"Impasse de Guingamp",,,,relation
"Impasse de Solesmes",,,,relation
"Impasse de Varennes",,,,relation
"Impasse de Versailles",,,,way
"Impasse de l'Abbaye",,,,relation
"Impasse de l'Ascension",,,,relation
"Impasse de l'Azurite",,,,relation
"Impasse de l'Hôtel Dieu",,,,relation
"Impasse de l'Odyssée",,,,relation
"Impasse de l'Oranda",,,,relation
"Impasse de l'Orangerie",,,,relation
"Impasse de l'Oural",,,,relation
"Impasse de la Barboire",,,,relation
"Impasse de la Bernardière",,,,relation
"Impasse de la Carrière de Villeneuve",,,,relation
"Impasse de la Clochette",,,,relation
"Impasse de la Conserverie",,,,relation
"Impasse de la Contrie",,,,way
"Impasse de la Coudre",,,,relation
"Impasse de la Cour aux Cerfs",,,,relation
"Impasse de la Croix Bonneau",,,,relation
"Impasse de la Découverte",,,,relation
"Impasse de la Durantière",,,,relation
"Impasse de la Fonderie Balan",,,,relation
"Impasse de la Galaxie",,,,relation
"Impasse de la Grande Sensive",,,,relation
"Impasse de la Jangada",,,,relation
"Impasse de la Mée",,,,relation
"Impasse de la Meilleraye",,,,relation
"Impasse de la Nobilière",,,,relation
"Impasse de la Noë Lambert",,,,relation
"Impasse de la Petite Baratte",,,,relation
"Impasse de la Plaine",,,,relation
"Impasse de la Priauté",,,,relation
"Impasse de la Quenouille",,,,relation
"Impasse de la Rêverie",,,,relation
"Impasse de la Rose des Vents",,,,relation
"Impasse de la Rosière d'Artois",,,,relation
"Impasse de la Sapinette",,,,relation
"Impasse de la Symphonie",,,,relation
"Impasse de la Terre Adélie",,,,relation
"Impasse de la Turquoise",,,,way
"Impasse de la Vierge",,,,relation
"Impasse des Abélias",,,,relation
"Impasse des Armateurs",,,,relation
"Impasse des Aviateurs",,,,relation
"Impasse des Briotins",,,,relation
"Impasse des Clémentines",,,,way
"Impasse des Courlis",,,,relation
"Impasse des Dervallières",,,,relation
"Impasse des Dunes",,,,relation
"Impasse des Eaux Calmes",,,,relation
"Impasse des Enfants Nantais",,,,way
"Impasse des Fraises",,,,relation
"Impasse des Gardénias",,,,relation
"Impasse des Houx",,,,relation
"Impasse des Noisetiers",,,,relation
"Impasse des Nymphéas",,,,relation
"Impasse des Orchestres",,,,relation
"Impasse des Régatiers",,,,relation
"Impasse des Rivières",,,,relation
"Impasse des Roches Grises",,,,way
"Impasse des Rouges Gorges",,,,relation
"Impasse des Salles",,,,relation
"Impasse des Salorges",,,,relation+way
"Impasse des Tourmalines",,,,relation
"Impasse des Vendanges",,,,relation
"Impasse des Venettes",,,,relation
"Impasse des Vieux Grééments",,,,way
"Impasse des Vignes du Bourg",,,,relation
"Impasse du Baut",,,,way
"Impasse du Bois de Barre",,,,way
"Impasse du Bois de Hercé",,,,relation
"Impasse du Bois de l'Amande",,,,relation
"Impasse du Chalet de la Marrière",,,,relation
"Impasse du Clair Matin",,,,relation
"Impasse du Cloître",,,,relation
"Impasse du Clos Adam",,,,relation
"Impasse du Docteur Sourisse",,,,way
"Impasse du Laricio",,,,relation
"Impasse du Menuet",,,,relation
"Impasse du Petit Chatelier",,,,relation
"Impasse du Sanitat",,,,relation
"Impasse du Stade",,,,relation
"Impasse du Val de Sèvre",,,,relation
"Impasse du Vivier",,,,relation
L’Océane,,,,way
"Le Val Joli",,,,way
"Le labyrinthe des camélias",,,,way
"Les Bords de l'Erdre",,,,way
"Levée de Sèvre",,,,relation
"Mail Marthe Delpirou",,,,relation
"Mail Pablo Picasso",,,,relation
"Mail de Rufisque",,,,relation
"Mail de la Caserne Mellinet",,,,relation
"Mail des Chantiers",,,,relation
"Mail du Front Populaire",,,,relation
"Mémorial de l’Abolition de l’Esclavage",,,,relation
